Date,0M2Z.IL,0NZT.IL,ADDYY,ADSK,ALFA.ST,BCS,BLK,BLND.L,C09.SI,CNP.PA,CSCO,CTAS,DANSKE.CO,DASTY,ELUX-B.ST,ENGGY,EW,HES,HPE,IBE.MC,KHE.SG,KO,LGLD.IL,LNVGY,MRK.PA,MSFT,NKE,NSRGY,OR.PA,PG,PLD,ROK,RY,TAK,TEL.OL,UAL,UN,VIVHY,VWS.CO,WBRBY,WM
2015-04-01,135.99769592285156,59.335609436035156,35.89393997192383,56.83000183105469,137.76876831054688,13.440409660339355,319.3885192871094,650.5475463867188,10.139347076416016,12.738974571228027,24.578041076660156,75.58300018310547,138.88055419921875,75.05592346191406,211.50408935546875,11.715293884277344,63.32500076293945,69.83313751220703,,4.82029914855957,-0.9355989694595337,34.443992614746094,1230.0,25.484928131103516,44.796470642089844,43.857940673828125,46.307472229003906,67.00142669677734,156.24139404296875,67.99100494384766,34.3071174621582,106.09429931640625,51.0588493347168,21.911231994628906,130.06275939941406,59.7400016784668,37.184165954589844,18.642070770263672,280.1639709472656,3.0589914321899414,44.13002395629883
2015-05-01,124.45071411132812,59.53255844116211,34.15601348876953,54.150001525878906,145.8002471923828,14.114991188049316,321.0032958984375,673.60009765625,10.0731201171875,11.960416793823242,24.987241744995117,81.38763427734375,146.44918823242188,76.02714538574219,219.78512573242188,11.0096435546875,65.36000061035156,61.315128326416016,,5.077563285827637,-0.9190787672996521,34.7836799621582,1210.0,23.555490493774414,45.55287551879883,42.2529411315918,47.633358001708984,68.80524444580078,157.6163787841797,67.5723648071289,33.78653335571289,109.93193054199219,49.442970275878906,20.700103759765625,134.56874084472656,54.59000015258789,36.77988052368164,20.08257293701172,320.55712890625,3.0219128131866455,44.236934661865234
2015-06-01,121.62531280517578,60.3955078125,34.26815414428711,50.08000183105469,132.2079315185547,14.094500541687012,303.6270751953125,620.0715942382812,9.364553451538086,12.502514839172363,23.41008949279785,79.96956634521484,144.6121368408203,71.36614227294922,219.5316162109375,10.159831047058105,71.21499633789062,60.733943939208984,,4.872720241546631,-0.8334566354751587,33.31454086303711,1045.0,20.665063858032227,42.32551956176758,40.06809997558594,50.88547897338867,64.11397552490234,148.9829864501953,67.44304656982422,31.66153335571289,112.08678436279297,47.51591491699219,20.657453536987305,134.04771423339844,53.0099983215332,36.03910827636719,19.88599395751953,308.7257080078125,3.0342607498168945,41.296722412109375
2015-07-01,119.6376953125,66.08894348144531,36.468936920166016,50.58000183105469,143.8067169189453,15.414786338806152,296.9587097167969,657.1898193359375,8.93366813659668,12.782111167907715,24.228511810302734,80.82986450195312,155.92832946777344,73.57435607910156,208.4620819091797,10.977535247802734,76.08000183105469,53.78252410888672,,5.180792331695557,-0.7949769496917725,35.17338180541992,980.0,16.091039657592773,45.1865348815918,42.38233947753906,54.277225494384766,67.17040252685547,158.62033081054688,66.11559295654297,34.973365783691406,105.01839447021484,45.3402099609375,21.570066452026367,139.82159423828125,56.38999938964844,38.61457061767578,21.580455780029297,342.8334655761719,3.071720838546753,45.91225814819336
2015-08-01,109.76889038085938,63.3407096862793,33.41278076171875,46.75,129.3988800048828,13.674406051635742,267.0704040527344,646.3148803710938,8.416606903076172,11.475940704345703,22.233144760131836,80.34771728515625,151.37245178222656,67.8681869506836,202.0400848388672,10.860170364379883,145.58999633789062,50.82042694091797,,4.863343238830566,-0.672889769077301,33.666446685791016,860.0,12.682262420654297,40.701786041259766,39.496337890625,52.64259719848633,65.40229797363281,142.18563842773438,61.41645431518555,33.34568405151367,100.01837921142578,43.74689865112305,20.930387496948242,128.8200225830078,56.970001220703125,34.55759048461914,20.27677345275879,328.59881591796875,3.3339407444000244,44.95145034790039
2015-09-01,108.84508514404297,65.47391510009766,35.94324493408203,44.13999938964844,124.05255889892578,13.45572566986084,264.50830078125,660.8964233398438,7.372910022735596,10.357558250427246,22.551006317138672,81.06620788574219,148.06578063964844,72.06964874267578,198.06854248046875,11.220088958740234,71.08499908447266,45.6253662109375,,4.819580078125,-0.6053993701934814,34.351409912109375,950.0,13.175765037536621,37.18351364135742,40.43280792236328,57.928043365478516,66.85054016113281,144.3738250732422,62.520172119140625,33.50069808959961,91.76526641845703,43.46343994140625,18.653120040893555,123.982421875,53.04999923706055,34.87845993041992,19.366653442382812,320.3722839355469,3.296480655670166,44.72695541381836
2015-10-01,119.45771789550781,73.06581115722656,39.854766845703125,55.189998626708984,136.1950225830078,12.242646217346191,312.9693603515625,686.118408203125,7.602715492248535,10.841633796691895,24.78462791442871,88.00528717041016,137.04351806640625,77.0332260131836,214.88409423828125,11.89298152923584,78.57499694824219,51.465816497802734,7.584864616394043,5.265313148498535,-0.8656542897224426,36.57493209838867,1100.0,14.523111343383789,43.50053405761719,48.08817672729492,62.03874206542969,67.72126770019531,154.6164093017578,66.3787841796875,37.19331359863281,98.71977996826172,44.746883392333984,21.46738624572754,125.07479095458984,60.310001373291016,39.02570343017578,19.719223022460938,365.3870544433594,3.4369559288024902,48.6474723815918
2015-11-01,117.87897491455078,78.8101806640625,43.05348205566406,63.470001220703125,146.16273498535156,11.571579933166504,323.4173278808594,662.9551391601562,7.028202533721924,11.000210762023926,23.598886489868164,86.58721923828125,135.05950927734375,77.72695922851562,216.32061767578125,11.666075706481934,81.5,54.02033996582031,7.657003402709961,5.373908996582031,-0.8919949531555176,36.80811309814453,1450.0,16.841793060302734,43.8258056640625,49.65031433105469,62.63057327270508,65.69549560546875,156.05967712402344,65.62491607666016,37.210716247558594,96.25994110107422,45.39374923706055,21.181386947631836,118.20854949951172,55.72999954223633,38.239749908447266,17.136457443237305,419.367919921875,3.343305826187134,48.656524658203125
2015-12-01,110.0340576171875,78.146484375,43.222774505615234,60.93000030517578,140.4539794921875,11.196646690368652,302.7880859375,624.7994995117188,7.325033664703369,10.382596969604492,23.52094078063965,87.06533813476562,136.08824157714844,78.3132095336914,173.39447021484375,10.977535247802734,78.9800033569336,44.38823318481445,7.832198619842529,5.30826473236084,-0.8127329349517822,37.38628387451172,1180.0,15.841184616088867,42.7044792175293,51.024227142333984,59.183719635009766,66.1219711303711,144.60662841796875,69.6322021484375,37.35869216918945,93.43487548828125,42.782718658447266,21.69272232055664,118.29459381103516,57.29999923706055,37.8725700378418,17.505422592163086,447.1901550292969,3.5306057929992676,48.2945671081543
2016-01-01,105.27701568603516,73.74274444580078,45.83342361450195,46.81999969482422,133.20472717285156,9.31325912475586,281.122802734375,588.2335205078125,6.664344310760498,10.27826976776123,20.60247802734375,82.15985107421875,135.72084045410156,75.32332611083984,157.17044067382812,11.471649169921875,78.20999908447266,39.1080322265625,7.134559631347656,5.2256011962890625,-0.6680982708930969,37.35147476196289,1240.0,13.916259765625,40.219703674316406,50.66554260253906,59.00509262084961,65.51779174804688,146.70169067382812,71.63148498535156,34.68614196777344,87.02437591552734,40.91427230834961,20.9907169342041,112.31204986572266,48.279998779296875,38.825496673583984,17.12005615234375,414.0067443847656,2.7907707691192627,48.25909423828125
